summary,sentiment,entidades
"
Kang Pado is a boy who accompanies his father on their countryside farm. Raising cattle, fruits, and vegetables for a living at the same time, he is studying at the not so nearby High School which If you travel by land the distance is 10km. However, his father unwittingly said to Pado that he can make a shortcut using the river with a 3km distance and is beneficial to him in some sort of way, Being an obedient kid he obeyed his father and swims every day back and forth to the school whenever there is a class. But circumstances occur that due to lack of students on their High School, the administrator shuts down the school leaving Kang Pado no choice but to go to Seoul where his sister lives. There he will continue his High School Studies and deal with what Seoul High School Life has to offer!
",negative,"['High', 'Li', 'Kang']"
"
He met a girl. A young girl branded with the mark of a criminal. That was the beginning of everything. “Crap, my girl’s so cute” This is the story of the two who became an overly protective guardian and an adopted child, changing relationships, and furthermore until how that relationship evolves. (From: MU)
Adapted from the Light Novel series of the same name.
Links:Light Novel (Official English Translation)Web Novel (Raw)
Russian / Русский
Он встретил девочку. Совсем маленькую девочку с меткой преступника. С этого все и началось. “Какая она милая!”
Это история о слишком заботливом защитнике и приемном ребенке, о том, как изменяются и развиваются их отношения.
",positive,"['Lin', 'Li']"
"
Naruto is a manga series from Japan. It’s about the story of a young ninja who wants to become the strongest leader in his village. The series were produced by Masashi Kishimoto and in 1997 were published. Later this manga was adapted into a TV anime. This studio also has developed 10 movies as well as a number of video animations. You can read Naruto manga online, which until today has sold over 220 copies around the world (except from Japan in 35 more countries), making it the 3rd best selling series of manga in history.
When he was a child, Naruto was isolated from its community. The people in the village treated him as he was Nine-Tails itself and don’t want him. None in the village had the right to mention the Nine-Tails, in order to prevent Naruto from finding the truth. But 12 years later, he finds out the truth from ninja Mizuki, who told him. Some time later, Naruto becomes a ninja and usually competes against other teams, and they form a three-person team by the name Team 7. Like all the other similar teams in every village, the Team 7 has to complete missions that are requested by the villagers, ranging from being bodyguards or doing chores. After participating in a number of missions, the Team 7 is allowed to take place in an exam, in order to move up in hierarchy and be able to be involved in more difficult missions. After 2,5 years, Naruto returns from training and he continued with his team to fight the Akatsuki members.
When Kishimoto first made the plot of the story, thought that it was a mess. For example, he thought that the chakras, along with other hand signs made Naruto look like a lot of Japanese them, but he believed that it could be enjoyable for reading. In these particular series, he actually tried to make his characters to look like unique ones. Above all he based his main theme on the Japanese culture and he separated the characters in the series into different teams, in order to give to each team a special flavor. He wanted to make each member to look like an ‘extreme’ character and when he was creating them, Kishimoto followed the 5 steps, like drafting, sketching, colouring, inking and shading. Moreover, when he started creating the series, Kishimoto paid attention to the designs of the village and the settings. For instance, the village was created spontaneously, but he took the idea for the scenery from his home in Okayama, in Japan.
The Naruto Anime made its debut in Japan TV Tokyo in October 2002 and was concluded in 2007 after 220 episodes. In addition, these series led also led to the production of 10 films. The first one under the title ‘Ninja clash in the land of Snow’ was first released in August 2004 in Japan and told the story fo how Team 7 was sent to the Land of Snow, in order to protect the actors from shootings of he new Princess Fun movie.
The soundtracks of ” were composed by T. Masuda. The first under the title ‘Naruto Manga Original Soundtrack’ was released in April 2003 and had 22 tracks. In addition, the video games of Naruto, which are mostly fighting games, were seen in various consoles from Sony, Microsoft and Nintendo
Other attractive Manga :
",positive,"['Prince', 'Princess', 'Original', 'Li']"
"
Lu QingQing helped a girl on the first day of school but unexpectedly brought troubles to herself. To help the girl, she provoked one of the four masters of Emperor High — MuYi Chen and became the public enemy. Her schoolmates played pranks on her and bullied her. She tried to roll with punches but life really tore her apart. In the tug of war with Lu QingQing, she found out that he had changed his attitude towards her…
",negative,"['Emperor', 'High']"
"
A collection of twelve stories. Story 1 “Bad Candy You Give Me”: Two girls and candy. Story 2 “Swimming Flowers”: A city girl feels out of place in a small fishing town. Story 3 “Survival of the Fittest”: A girl sneaks food to feed her friend turned fish. Story 4 “A Tender Casket”: When your best and oldest friend comes back from the dead and lives in your room. Story 5 “Mother and Sister”: A girl struggles with her identity and her relationship with her sister after the death of their mother. Story 6 “Sets in the West”: When I wake up, I see another me. Story 7 “Much as I Love You”: The pretty one and the sweet one. Story 8 “Tidal Force”: Did she just see the moon crash? Story 9 “Goodbye”: Somebody drew a rectangle in pencil on my desk. Story 10 “Where Demons Dwell”: Half-eaten fish start washing ashore after a group of girls disappeared, presumed dead. Story 11 “Leaving Home”: A girl leaves her hometown. Story 12 “Spring Pupa”: The scent of peach blossoms conjures up memories of high school.
",negative,['Demon']
"
God gave me a chance to relive my life. Before the rebirth, I had been used for the past 400 years as the empire’s sword. And so, I swore to destroy the empire. I found the young prince of the country and became his teacher. I taught him how to become a tyrant and asked for the country. “I will do the lady’s will.” He conquered the whole empire for me, and I ran away. “I came to take you, Charlize Ronan.” Dylan became a perfect tyrant and searched the entire empire for me. “You tamed me, so why did you run away?”
",positive,['God']
"
A certain boy and girl in middle school became lovers, flirted with each other, disagreed on trivial things, became more frequently irritated with each other rather than excited… and ended up breaking up on graduation.
And so, the two of them, Irido Mizuto and Ayai Yume, wound up meeting each other in the most unexpected fashion.
“Isn’t it obvious that I’m the elder brother.” “Isn’t it obvious that I’m the elder sister.”
The children of the partner of their parent’s remarriage was their ex-lover!?
The former couple, mindful of their parent’s feelings, decided on a ‘sibling rule’ where the one takes conscious of the other as the opposite s*x loses, but—
When they encounter each other in the bathroom, commute to and from school together… along with the memories of the past and living under the same roof, just how do they disregard each other!?
",positive,['Yu']
"
After three years of being a son-in-law, Xiao Ge was subjected to countless stares and insults. However, his wife’s kindness and beauty made it difficult for him to let go. Finally, he awakens the Divine Hero System, and begins a life of pushy and unpredictable behavior.
",negative,['Xiao']
"
Sato Koharu is a pretty girl that everyone can recognize.
But her attitude with anyone is so bitter that she got nicknamed “Salt-God Sato-san”. Anyone who tried to get close to her got emotionally injured in a brutal way.
Though for some reason, I was able to save Sato-san from some pick-up boys where I was working at. Which made her like me, and thus I became a friend of “salt-god Sato-san.”
In front of everyone, she is a salt-god, but in front of me, she is very sweet. This is a high school life story between Sato-san and I.
",positive,['God']
"
Xiong Yu returned to the mall in order to fulfill his grandfather’s death wish. He married Qiu Hongxin, the principal of the beauty, but was refused. In order to cultivate feelings, Xiong Yu became …
",positive,['Yu']
"
Fang Han, the grandson of the King of Shen Needle, has the body of nine Yin and no veins. He entered the world to search for the lower part of the “Huangpu Needle Sutra” for autonomy, but by accident, he became a security guard at the Medical University. The security guard knows martial arts, and the hooligans can’t handle it. The security guard knows medical skills, and the beauty can’t walk. A turbulent love, a bloodbath, a story of promoting Chinese medicine starts from this security guard…
",positive,"['King', 'Han']"
"
「Let’s prove it to them that we can still do it!」A former top idol who left the group because of a scandal, Shinonome Kiyoshi. After the debut interview he immediately retired, Kaburagi Isei. A childhood friend who paired up and ruined a lot of TV programs, Tachibana Rui &amp; Hanagasa Tamotsu. These four Idols who once disappeared from the scene gathered and made a debut known as 「SCaNDaL」!
",positive,['Han']
"
A Chinese Taoist monk, He Xun, has his soul reincarnated into the body of a Japanese high school boy. He Xun, now Tanaka Mamoru, uses his cultivation powers to ward off demons.
Among his encounters, a Demon Fox known as Miyazawa Momoko, suffers a humiliating defeat at his hand. Determined to get back at him, Miyazawa transforms into a school girl, and attends classes with Tanaka in an attempt to seduce him.
",positive,['Demon']
"
Lindsay is a top-secret spy about to take on her most difficult mission yet: to disguise herself as a man?! Her target is the Duke. Rich, mysterious, and… an infamous womanizer. Cutting her hair, drinking elixirs to hide her voice, as a servant she must infiltrate his manor and investigate the mysterious disappearance of lords and ladies in the area. However, when she meets the Duke for the first time and he kisses her, is it her identity that’s compromised or her heart…Source of collecting images:bato.to/series/75818Notices:Chapters 8-35 are on Wakamics (link is in resources)Resources:/tapas.io/series/thedukesservantbomtoon.com/comic/ep_list/L_n_Lwakamics.com/manga/the-dukes-servant/
",negative,"['Duke', 'Lin', 'Li']"
"
Idris was forced by her family to marry the tyrant Grand Duke.
She was not loved by her family because she was an illegitimate child, but she continues to have an uneasy marriage with Khalid, the tyrant.
Then one day, Idris, who was stabbed on her vital point, let Khalid end her life, hoping that she’ll still live.
When she woke up, she came back in the past, precisely on her wedding day.
But Khalid, who has never laughed before, said all sorts of sweet nothings and laughed saying that he’d do anything for her.
Suddenly my tyrant husband…has changed!
",positive,['Duke']
"
The protagonist, Inaka Yuuji, was ran over by a truck because his awareness was dulled from overworking. “Ahー, with this I don’t have to work so much anymore. I want to spend my next life leisurely……” was the wish Yuuji blurted out, He met God and it was decided he will be reincarnated in the countryside of the otherworld. He became Alfred Slowlet, 2nd son of a countryside noble, will he be able to enjoy and leisurely spend his slow life in the countryside?
",positive,"['God', 'Yu']"
"
One day, Valen, the sole Librarian for the continent’s greatest magic tower, accidentally discovers an ancient book in a hidden part of Sainbritt Tower’s library…
”Through this book, you shall experience the same glory that I did.”
Suddenly uplifted from a simple Librarian to walking the path of a great Magician set to become the Empire’s Hero– Valen’s journey to reclaim the future begins!
",positive,['Li']
"
He has no special skills, but he mastered kung fu. The martial arts master, Duan Yun, came to a city, and beat up rich people, punishes gangsters. He also gives his affection to a high quality girl, a hot feisty cop, and cold business woman…
",positive,['Yu']
"
After the revivification and return of the spirit energy, men and women did their best to capture every strands of spirit energy and train, except Lu Shu, with his Negative Emotion System, he becomes stronger by taunting others! He only wanted to protect his younger sister, but the change of an era in unavoidable, then all he could do was… to taunt others in passing, and become the strongest! Then, are you ready? Here comes Lu Shu, ’The Great Demon King’~
 
",positive,"['Demon', 'King', 'Great']"
"
The Jester ― More commonly known as the ‘Playboy’ Dylan, was fired from the party of the Heroes. The self-centred Heroes didn’t understand Dylan’s importance to the group.
They were just a group of one-man teams. Not interested in cooperation at all. Any failures are blamed on the Jester. Dylan, who was disgusted with such companions and was sick of playing as their comedic foil, happily accepted being kicked out.
The Heroes didn’t know. After saving them many times over with his magic tricks, the level 99 Jester can change his job title to that of a ‘Great Sage’.
“Life, how about a rewrite?”
He’s done being the clown. From here on out, he’s going to take the leading role.
",positive,"['Great', 'Li']"
"
First among the ten martial emperors, Peerless Martial Emperor Gu Fei Yang met his demise in the Tiandang mountains. He was reincarnated fifteen years later, as Li Xun Xiao of the Tianshui Nation, and thus began a heaven-defying battlefront with the countless talents of the current generation. Martial arts of the nine heavens and ten divine realms. From then on, the whole world was set ablaze.
",positive,"['Emperor', 'Xiao', 'Li']"
"
“Can you be my daughter for me?”
By his offer, Elena became Duke of Franceschi’s fake daughter.
She became the queen and gave birth to Crown Prince’s son.
Then suddenly, Princess Veronica who was assumed dead came back.
She was only just a toy.
And eventually, Elena gets her son taken and murdered…….
However,
She went back to the past.
“I’ll destroy all of you.”
I’ll never live as a toy again.
Elena decides to seeks revenge
",negative,"['Duke', 'Prince', 'Crown', 'Princess']"
"
Asato Kanoumi, who was summoned as a hero to another world Istalia.
To stop the war between the demons and humans
It is said that he was summoned by Anna, the saint of the Kingdom of Elshnon.
After a year of war, Asato finally challenges the Demon King Lione.
Just when he thought the battle was over, his summoner Anna attacked him and the Demon King.
Asato who survived the attack and was protected by the Demon King.
What is the future path for the hero betrayed by humans…!?
",negative,"['Demon', 'King', 'Li']"
"
Being friendzoned by different girls for almost a hundred times, the extremely unlucky man, Lin Yi, was chosen by the Super Shared Boyfriend System as a qualified host. As long as he receives the order, he will temporarily acquire all the skills required by the clients! Masculine charm = Charming eyes; Transgender = A man wears female clothing… Wait! Why does a girl want her boyfriend to be a transgender！Hey, system! Don’t run away! Make it clear!
",positive,"['Lin', 'Li']"
"
Used, betrayed, and tortured by her husband and sister, she died in despair, wondering why she couldn’t have seen though them earlier? Maybe God heard her question and turned back the clock. She woke up on the morning of her wedding and found herself able to read people’s mind. However, there’s this Prince who’s immune to her ability. What is he thinking? Will he undermine her revenging plan? No worries, she’s got the rest of her life as his wife to figure this man out…
",positive,"['Prince', 'God']"
"
Lin Mubai life is the most fortunate and the most unfortunate thing: accidentally peeping Song Qingxiao, that he was most likely to see the secret light. Since then, he chased her, and she fled … … he suppressed, she resisted … … he fell, she began the road against the reverse, the ultimate back pressure success! Fame, Lin bai to give their love made a summary: the most blood of the encounter, the most twists and turns of the process, the most perfect ending!
",negative,"['Lin', 'Li']"
